2   8015
3   5873
4   8326
5   7944
6   9543
7   4668
8   4326
9   5514
10   3316
11   3279
12   742
13   3036
14   2737
15   2881
16   4225
17   2314
18   2331
19   3936
20   8333
21   831
22   6660
23   19435
24   677
25   1484
26   1835
27   1025
28   909
29   645
30   1452
31   950
32   1219
33   2184
34   959
35   7020
36   4384
37   1794
38   2949
39   3001
40   1558
41   2061
42   1160
43   1390
44   1589
45   1051
46   1955
47   1408
48   1233
49   1479
50   787
51   983
52   697
53   1309
54   2016
55   10708
56   1724
57   1560
58   1039
59   1804
60   2116
61   1992
62   10364
63   17155
64   17497
65   26101
66   7284
67   21436
68   48430
69   18909
70   29919
71   13690
72   50718
73   28914
74   22975
75   28731
76   26176
77   10968
78   12521
79   13402
