2 1078
3 1260
4 909
5 1208
6 1091
7 1068
8 1344
9 997
10 1084
11 969
12 1002
13 1156
14 985
15 949
16 1431
17 1278
18 1050
19 1014
20 1136
21 1082
22 1043
23 1521
24 1055
25 1067
26 1141
27 1039
28 1074
29 959
30 1065
31 1161
32 1357
33 1009
34 712
35 1207
36 1034
37 1058
38 919
39 1112
40 1038
41 1118
42 1050
43 1110
44 988
45 1058
46 1081
47 944
48 980
49 928
50 1112
51 923
52 987
53 1234
54 194
55 722
56 1239
57 1387
58 1074
59 1369
60 1217
61 1205
62 1026
63 1019
64 880
65 1017
66 910
67 1204
68 1355
69 477
70 1440
71 605
72 1286
73 1336
74 808
75 759
76 972
77 1493
78 1360
79 352
