2 0 0 0
3 50 0 0
4 100 0 0
5 150 0 0
6 200 0 0
7 0 50 0
8 50 50 0 
9 100 50 0
10 150 50 0
11 200 50 0
12 0 100 0
13 200 100 0
14 100 100 0
15 150 100 0
16 50 100 0
17 0 150 0
18 50 150 0
19 100 150 0
20 150 150 0
21 200 150 0
22 0 200 0
23 50 200 200
24 100 200 0
25 150 200 0
26 200 200 0
27 0 0 50
28 50 0 50
29 100 0 50
30 150 0 50
31 200 0 50
32 250 50 50
33 50 50 50
34 100 50 50
35 150 50 50
36 200 50 50
37 250 100 50
38 50 100 50
39 100 100 50
40 150 100 50
41 200 100 50
42 250 150 50
43 50 150 50
44 100 150 50
45 150 150 50
46 200 150 50
47 250 200 50
48 50 200 50
49 100 200 50
50 150 200 50
51 200 200 50
52 250 0 100
53 50 0 100
54 100 0 100
55 150 0 100
56 200 0 100
57 250 50 100
58 50 50 100
59 100 50 100
60 150 50 100
61 200 50 100
62 250 100 100
63 50 100 100
64 100 100 100
65 150 100 100
66 200 100 100
67 250 150 100
68 50 150 100
69 100 150 100
70 150 150 100
71 200 150 100
72 250 200 100
73 50 200 100
74 100 200 100
75 150 200 100
76 200 200 100
77 250 0 150
78 50 0 150
79 150 0 150


