[0, 0] [84, 84]
[85, 0] [169, 84]
[170, 0] [254, 84]
[255, 0] [339, 84]
[340, 0] [424, 84]
[425, 0] [509, 84]
[510, 0] [594, 84]
[595, 0] [679, 84]
[680, 0] [764, 84]
[765, 0] [849, 84]
[850, 0] [934, 84]
[935, 0] [1019, 84]
[1020, 0] [1104, 84]
[1105, 0] [1189, 84]
[1190, 0] [1274, 84]
[1275, 0] [1359, 84]
[1360, 0] [1444, 84]
[1445, 0] [1529, 84]
[1530, 0] [1614, 84]
[1615, 0] [1699, 84]
[1700, 0] [1784, 84]
[1785, 0] [1819, 84]
[0, 85] [84, 169]
[85, 85] [169, 169]
[170, 85] [254, 169]
[255, 85] [339, 169]
[340, 85] [424, 169]
[425, 85] [509, 169]
[510, 85] [594, 169]
[595, 85] [679, 169]
[680, 85] [764, 169]
[765, 85] [849, 169]
[850, 85] [934, 169]
[935, 85] [1019, 169]
[1020, 85] [1104, 169]
[1105, 85] [1189, 169]
[1190, 85] [1274, 169]
[1275, 85] [1359, 169]
[1360, 85] [1444, 169]
[1445, 85] [1529, 169]
[1530, 85] [1614, 169]
[1615, 85] [1699, 169]
[1700, 85] [1784, 169]
[1785, 85] [1819, 169]
[0, 170] [84, 254]
[85, 170] [169, 254]
[170, 170] [254, 254]
[255, 170] [339, 254]
[340, 170] [424, 254]
[425, 170] [509, 254]
[510, 170] [594, 254]
[595, 170] [679, 254]
[680, 170] [764, 254]
[765, 170] [849, 254]
[850, 170] [934, 254]
[935, 170] [1019, 254]
[1020, 170] [1104, 254]
[1105, 170] [1189, 254]
[1190, 170] [1274, 254]
[1275, 170] [1359, 254]
[1360, 170] [1444, 254]
[1445, 170] [1529, 254]
[1530, 170] [1614, 254]
[1615, 170] [1699, 254]
[1700, 170] [1784, 254]
[1785, 170] [1819, 254]
[0, 255] [84, 339]
[85, 255] [169, 339]
[170, 255] [254, 339]
[255, 255] [339, 339]
[340, 255] [424, 339]
[425, 255] [509, 339]
[510, 255] [594, 339]
[595, 255] [679, 339]
[680, 255] [764, 339]
[765, 255] [849, 339]
[850, 255] [934, 339]
[935, 255] [1019, 339]
[1020, 255] [1104, 339]
[1105, 255] [1189, 339]
[1190, 255] [1274, 339]
[1275, 255] [1359, 339]
[1360, 255] [1444, 339]
[1445, 255] [1529, 339]
[1530, 255] [1614, 339]
[1615, 255] [1699, 339]
[1700, 255] [1784, 339]
[1785, 255] [1819, 339]
[0, 340] [84, 424]
[85, 340] [169, 424]
[170, 340] [254, 424]
[255, 340] [339, 424]
[340, 340] [424, 424]
[425, 340] [509, 424]
[510, 340] [594, 424]
[595, 340] [679, 424]
[680, 340] [764, 424]
[765, 340] [849, 424]
[850, 340] [934, 424]
[935, 340] [1019, 424]
[1020, 340] [1104, 424]
[1105, 340] [1189, 424]
[1190, 340] [1274, 424]
[1275, 340] [1359, 424]
[1360, 340] [1444, 424]
[1445, 340] [1529, 424]
[1530, 340] [1614, 424]
[1615, 340] [1699, 424]
[1700, 340] [1784, 424]
[1785, 340] [1819, 424]
[0, 425] [84, 509]
[85, 425] [169, 509]
[170, 425] [254, 509]
[255, 425] [339, 509]
[340, 425] [424, 509]
[425, 425] [509, 509]
[510, 425] [594, 509]
[595, 425] [679, 509]
[680, 425] [764, 509]
[765, 425] [849, 509]
[850, 425] [934, 509]
[935, 425] [1019, 509]
[1020, 425] [1104, 509]
[1105, 425] [1189, 509]
[1190, 425] [1274, 509]
[1275, 425] [1359, 509]
[1360, 425] [1444, 509]
[1445, 425] [1529, 509]
[1530, 425] [1614, 509]
[1615, 425] [1699, 509]
[1700, 425] [1784, 509]
[1785, 425] [1819, 509]
[0, 510] [84, 594]
[85, 510] [169, 594]
[170, 510] [254, 594]
[255, 510] [339, 594]
[340, 510] [424, 594]
[425, 510] [509, 594]
[510, 510] [594, 594]
[595, 510] [679, 594]
[680, 510] [764, 594]
[765, 510] [849, 594]
[850, 510] [934, 594]
[935, 510] [1019, 594]
[1020, 510] [1104, 594]
[1105, 510] [1189, 594]
[1190, 510] [1274, 594]
[1275, 510] [1359, 594]
[1360, 510] [1444, 594]
[1445, 510] [1529, 594]
[1530, 510] [1614, 594]
[1615, 510] [1699, 594]
[1700, 510] [1784, 594]
[1785, 510] [1819, 594]
[0, 595] [84, 679]
[85, 595] [169, 679]
[170, 595] [254, 679]
[255, 595] [339, 679]
[340, 595] [424, 679]
[425, 595] [509, 679]
[510, 595] [594, 679]
[595, 595] [679, 679]
[680, 595] [764, 679]
[765, 595] [849, 679]
[850, 595] [934, 679]
[935, 595] [1019, 679]
[1020, 595] [1104, 679]
[1105, 595] [1189, 679]
[1190, 595] [1274, 679]
[1275, 595] [1359, 679]
[1360, 595] [1444, 679]
[1445, 595] [1529, 679]
[1530, 595] [1614, 679]
[1615, 595] [1699, 679]
[1700, 595] [1784, 679]
[1785, 595] [1819, 679]
[0, 680] [84, 764]
[85, 680] [169, 764]
[170, 680] [254, 764]
[255, 680] [339, 764]
[340, 680] [424, 764]
[425, 680] [509, 764]
[510, 680] [594, 764]
[595, 680] [679, 764]
[680, 680] [764, 764]
[765, 680] [849, 764]
[850, 680] [934, 764]
[935, 680] [1019, 764]
[1020, 680] [1104, 764]
[1105, 680] [1189, 764]
[1190, 680] [1274, 764]
[1275, 680] [1359, 764]
[1360, 680] [1444, 764]
[1445, 680] [1529, 764]
[1530, 680] [1614, 764]
[1615, 680] [1699, 764]
[1700, 680] [1784, 764]
[1785, 680] [1819, 764]
[0, 765] [84, 849]
[85, 765] [169, 849]
[170, 765] [254, 849]
[255, 765] [339, 849]
[340, 765] [424, 849]
[425, 765] [509, 849]
[510, 765] [594, 849]
[595, 765] [679, 849]
[680, 765] [764, 849]
[765, 765] [849, 849]
[850, 765] [934, 849]
[935, 765] [1019, 849]
[1020, 765] [1104, 849]
[1105, 765] [1189, 849]
[1190, 765] [1274, 849]
[1275, 765] [1359, 849]
[1360, 765] [1444, 849]
[1445, 765] [1529, 849]
[1530, 765] [1614, 849]
[1615, 765] [1699, 849]
[1700, 765] [1784, 849]
[1785, 765] [1819, 849]
[0, 850] [84, 934]
[85, 850] [169, 934]
[170, 850] [254, 934]
[255, 850] [339, 934]
[340, 850] [424, 934]
[425, 850] [509, 934]
[510, 850] [594, 934]
[595, 850] [679, 934]
[680, 850] [764, 934]
[765, 850] [849, 934]
[850, 850] [934, 934]
[935, 850] [1019, 934]
[1020, 850] [1104, 934]
[1105, 850] [1189, 934]
[1190, 850] [1274, 934]
[1275, 850] [1359, 934]
[1360, 850] [1444, 934]
[1445, 850] [1529, 934]
[1530, 850] [1614, 934]
[1615, 850] [1699, 934]
[1700, 850] [1784, 934]
[1785, 850] [1819, 934]
[0, 935] [84, 1019]
[85, 935] [169, 1019]
[170, 935] [254, 1019]
[255, 935] [339, 1019]
[340, 935] [424, 1019]
[425, 935] [509, 1019]
[510, 935] [594, 1019]
[595, 935] [679, 1019]
[680, 935] [764, 1019]
[765, 935] [849, 1019]
[850, 935] [934, 1019]
[935, 935] [1019, 1019]
[1020, 935] [1104, 1019]
[1105, 935] [1189, 1019]
[1190, 935] [1274, 1019]
[1275, 935] [1359, 1019]
[1360, 935] [1444, 1019]
[1445, 935] [1529, 1019]
[1530, 935] [1614, 1019]
[1615, 935] [1699, 1019]
[1700, 935] [1784, 1019]
[1785, 935] [1819, 1019]
[0, 1020] [84, 1104]
[85, 1020] [169, 1104]
[170, 1020] [254, 1104]
[255, 1020] [339, 1104]
[340, 1020] [424, 1104]
[425, 1020] [509, 1104]
[510, 1020] [594, 1104]
[595, 1020] [679, 1104]
[680, 1020] [764, 1104]
[765, 1020] [849, 1104]
[850, 1020] [934, 1104]
[935, 1020] [1019, 1104]
[1020, 1020] [1104, 1104]
[1105, 1020] [1189, 1104]
[1190, 1020] [1274, 1104]
[1275, 1020] [1359, 1104]
[1360, 1020] [1444, 1104]
[1445, 1020] [1529, 1104]
[1530, 1020] [1614, 1104]
[1615, 1020] [1699, 1104]
[1700, 1020] [1784, 1104]
[1785, 1020] [1819, 1104]
[0, 1105] [84, 1189]
[85, 1105] [169, 1189]
[170, 1105] [254, 1189]
[255, 1105] [339, 1189]
[340, 1105] [424, 1189]
[425, 1105] [509, 1189]
[510, 1105] [594, 1189]
[595, 1105] [679, 1189]
[680, 1105] [764, 1189]
[765, 1105] [849, 1189]
[850, 1105] [934, 1189]
[935, 1105] [1019, 1189]
[1020, 1105] [1104, 1189]
[1105, 1105] [1189, 1189]
[1190, 1105] [1274, 1189]
