[0, 0] [27, 27]
[28, 0] [55, 27]
[56, 0] [83, 27]
[84, 0] [111, 27]
[112, 0] [139, 27]
[140, 0] [167, 27]
[168, 0] [195, 27]
[196, 0] [223, 27]
[224, 0] [251, 27]
[252, 0] [279, 27]
[280, 0] [307, 27]
[308, 0] [335, 27]
[336, 0] [363, 27]
[364, 0] [391, 27]
[392, 0] [419, 27]
[420, 0] [447, 27]
[448, 0] [475, 27]
[476, 0] [503, 27]
[504, 0] [531, 27]
[532, 0] [559, 27]
[560, 0] [587, 27]
[588, 0] [615, 27]
[616, 0] [643, 27]
[644, 0] [671, 27]
[672, 0] [699, 27]
[700, 0] [727, 27]
[728, 0] [755, 27]
[756, 0] [783, 27]
[784, 0] [811, 27]
[812, 0] [839, 27]
[840, 0] [867, 27]
[868, 0] [895, 27]
[896, 0] [923, 27]
[924, 0] [951, 27]
[952, 0] [979, 27]
[980, 0] [1007, 27]
[1008, 0] [1035, 27]
[1036, 0] [1063, 27]
[1064, 0] [1091, 27]
[1092, 0] [1119, 27]
[1120, 0] [1147, 27]
[1148, 0] [1175, 27]
[1176, 0] [1203, 27]
[1204, 0] [1231, 27]
[1232, 0] [1259, 27]
[1260, 0] [1287, 27]
[1288, 0] [1315, 27]
[1316, 0] [1343, 27]
[1344, 0] [1371, 27]
[1372, 0] [1399, 27]
[1400, 0] [1427, 27]
[1428, 0] [1455, 27]
[1456, 0] [1483, 27]
[1484, 0] [1511, 27]
[1512, 0] [1539, 27]
[1540, 0] [1567, 27]
[1568, 0] [1595, 27]
[1596, 0] [1623, 27]
[1624, 0] [1651, 27]
[1652, 0] [1679, 27]
[1680, 0] [1707, 27]
[1708, 0] [1735, 27]
[1736, 0] [1763, 27]
[1764, 0] [1791, 27]
[1792, 0] [1819, 27]
[0, 28] [27, 55]
[28, 28] [55, 55]
[56, 28] [83, 55]
[84, 28] [111, 55]
[112, 28] [139, 55]
[140, 28] [167, 55]
[168, 28] [195, 55]
[196, 28] [223, 55]
[224, 28] [251, 55]
[252, 28] [279, 55]
[280, 28] [307, 55]
[308, 28] [335, 55]
[336, 28] [363, 55]
[364, 28] [391, 55]
[392, 28] [419, 55]
[420, 28] [447, 55]
[448, 28] [475, 55]
[476, 28] [503, 55]
[504, 28] [531, 55]
[532, 28] [559, 55]
[560, 28] [587, 55]
[588, 28] [615, 55]
[616, 28] [643, 55]
[644, 28] [671, 55]
[672, 28] [699, 55]
[700, 28] [727, 55]
[728, 28] [755, 55]
[756, 28] [783, 55]
[784, 28] [811, 55]
